Name,Height(m),Number floors,Year of completion,Latitude,Longitude
虎ノ門ヒルズ レジデンシャルタワー,222,54,2022,35.6664094,139.7483588
The Kitahama（ザ・キタハマ）,209,54,2009,34.689222,135.507206
ザ・パークハウス西新宿タワー60,209,60,2017,35.693937,139.6868018
パークシティ武蔵小杉ミッドスカイタワー,204,59,2009,35.57476,139.6607538
クロスタワー大阪ベイ,200,54,2006,34.6684183,135.4604772
ザ・タワー横浜北仲,200,58,2020,35.451281,139.6358872
シティタワー広島,198,52,2016,34.3956814,132.4751
ザ・トウキョウタワーズー シータワー,194,58,2008,35.655463,139.77378695
ザ・トウキョウタワーズ ミッドタワー,194,58,2008,35.6557643,139.7735501
ザ・パークハウス中之島タワー,193,55,2017,34.6887342,135.4852985
勝どきビュータワー,192,55,2010,35.6596368,139.7767899
Tomihisa Cross Comfort Tower,191,55,2015,35.6919286,139.7138755
アクティ汐留（ラ・トゥール汐留）,190,56,2004,35.6581968,139.758778
シティタワー神戸三宮,190,54,2013,34.6967762,135.1979728
大阪ひびきの街ザ・サンクタスタワー,190,53,2015,34.6785316,135.4946885
OWL TOWER（アウルタワー）,189,52,2010,35.7275012,139.7197678
ブリリアタワー池袋,189,49,2015,35.7263896,139.7167112
キャピタルゲートプレイス,187,53,2015,35.66399265,139.78350335
エルザタワー55,186,55,1998,35.7968891,139.7313938
シティタワー武蔵小杉,185,53,2016,35.5728411,139.6599964
シエリアタワー千里中央,185,52,2019,34.8082186,135.4945362
ブランズタワー豊洲,180,48,2021,35.65019005,139.7916038
センチュリーパークタワー,180,54,1999,35.6706203,139.7855776
アーバンドック パークシティ豊洲 タワーA,180,53,2008,35.6582632,139.7913605
パークシティ武蔵小杉 ザ ガーデン タワーズウエスト,179,53,2018,35.5777798,139.6556465
パークシティ武蔵小杉 ザ ガーデン タワーズイースト,179,53,2017,35.5776988,139.6562364
勝どき ザ・タワー,179,53,2016,35.656617,139.7724763
パークタワー晴海,178,48,2019,35.6566508,139.7872709
Ｗコンフォートタワーズ イースト,178,54,2004,35.6455553,139.8053548
hitoto 広島 The Tower,178,53,2020,34.3808768,132.4587231
グランドメゾン新梅田タワー THE CLUB RESIDENCE,178,51,2021,34.7017735,135.4860964
ザ・タワー大阪,178,49,2008,34.6944179,135.4891807
シティタワー西梅田,177,50,2007,34.7000164,135.4856467
ドゥ・トゥール キャナル&スパ　イースト棟,177,52,2015,35.6551343,139.7780566
ドゥ・トゥール キャナル&スパ　ウエスト棟,177,52,2015,35.6551343,139.7780566
プラウドタワー東雲 キャナルコート,175,52,2012,35.6495432,139.8045556
グランフロント大阪オーナーズタワー,174,48,2013,34.7072423,135.4942166
幕張ベイパーク スカイグランドタワー,172,48,2020,35.6447842,140.0495934
パークアクシス青山一丁目タワー,172,46,2007,35.671746,139.725554
御影タワーレジデンス,170,47,2010,34.7163165,135.2551898
芝浦アイランド エアタワー,170,48,2007,35.6412618,139.7517839
シティタワー大阪,170,50,2003,34.6864234,135.5071492
ザ・パークハウス晴海タワーズ・クロノレジデンス,169,49,2014,35.6549264,139.7850983
ベイシティ晴海スカイリンクタワー,169,49,2009,35.6557455,139.7790284
芝浦アイランド グローヴタワー,169,49,2007,35.6403241,139.7511391
ブランズタワー梅田 North,168,50,2020,34.7108906,135.497354
グランクロスタワー広島,168,46,2016,34.3956503,132.4774384
ザ・パークハウス晴海タワーズ・ティアロレジデンス,168,49,2016,35.6557459,139.7861109
